BANK_ID,NAME,DISPLAY_NAME,SHORT_NAME,UPDATE_DATE
285,HSBC Hong Kong,HSBC Hong Kong,HSBC HK,2019-09-20 09:21:44.100000000
286,National Westminster Bank Plc,Natwest Bank,Natwest,2019-09-20 09:21:44.100000000
287,Citibank Korea,Citibank Korea,Citibank Kr,2019-09-20 09:21:44.100000000
288,ICICI,ICICI,ICICI,2019-09-20 09:21:44.100000000
289,Nedbank,Nedbank,Nedbank,2019-09-20 09:21:44.100000000
290,RBS - Bank Settle,RBS - Bank Settle,RBS - Settle,2019-09-20 09:21:44.100000000
291,RBS - VPC,RBS - VPC,RBS - VPC,2019-09-20 09:21:44.100000000
292,Lloyds MasterCard,Lloyds MasterCard,Lloyds MC,2019-09-20 09:21:44.100000000
295,U.S. Bank,U.S. Bank,U.S. Bank,2019-09-20 09:21:44.100000000
300,Bank One,Bank One,Bank One,2019-09-20 09:21:44.100000000
301,TDB Mongolia T&E,TDB Mongolia T&E,TDB MN T&E,2019-09-20 09:21:44.100000000
302,TDB Mongolia Purchasing,TDB Mongolia Purchasing,TDB MN P,2019-09-20 09:21:44.100000000
310,Bank of Montreal,Bank of Montreal,BMO,2019-09-20 09:21:44.100000000
311,Bank of Montreal,Bank of Montreal,BMO,2019-09-20 09:21:44.100000000
312,Bank of Montreal - MasterCard,BMO,BMO,2019-09-20 09:21:44.100000000
313,Bank of Montreal - Diners,Diners Club,Diners Club,2019-09-20 09:21:44.100000000
334,BoA Australia P-Card,BoA Australia P-Card,BoA AU P,2019-09-20 09:21:44.100000000
335,BoA Diavik Diamonds Purchasing,BoA Diavik Diamonds Purchasing,BoA-DDMI-P,2019-09-20 09:21:44.100000000
336,BoA Diavik Diamonds T&E,BoA Diavik Diamonds T&E,BoA DDMI T&E,2019-09-20 09:21:44.100000000
337,BoA USD Global T&E,BoA USD Global T&E,BoA USD G TE,2019-09-20 09:21:44.100000000
338,BoA USD Global Purchasing,BoA USD Global Purchasing,BoA USD G P,2019-09-20 09:21:44.100000000
339,BoA Singapore T&E,BoA Singapore T&E,BoA SG T&E,2019-09-20 09:21:44.100000000
340,BoA Singapore Purchasing,BoA Singapore Purchasing,BOA Sin (P),2019-09-20 09:21:44.100000000
341,BoA New Zealand,BoA New Zealand,BOA NZ,2019-09-20 09:21:44.100000000
342,BoA Australia East T&E,BoA Australia East T&E,BoA AU EA TE,2019-09-20 09:21:44.100000000
343,BoA Australia East Purchasing,BoA Australia East Purchasing,BoA AU EA P,2019-09-20 09:21:44.100000000
344,BoA Australia West T&E,BoA Australia West T&E,BoA AU WE TE,2019-09-20 09:21:44.100000000
345,BoA Australia West Purchasing,BoA Australia West Purchasing,BoA AU WE P,2019-09-20 09:21:44.100000000
346,BoA Canada T&E,BoA Canada T&E,BoA CA T&E,2019-09-20 09:21:44.100000000
347,BoA Canada Purchasing,BoA Canada Purchasing,BoA CA P,2019-09-20 09:21:44.100000000
